RegionSize	Year	WifiTrafficMet(%)	CellularTrafficMet(%)
2	0	64.38%	55.191%
2	1	10.371%	10.26%
2	2	0.604%	0.612%
2	3	0.035%	0.035%
2	4	0.002%	0.002%
2	5	0.0%	0.0%
2	6	0.0%	0.0%
2	7	0.0%	0.0%
2	8	0.0%	0.0%
2	9	0.0%	0.0%
5	0	62.885%	57.923%
5	1	6.582%	7.027%
5	2	0.397%	0.408%
5	3	0.022%	0.023%
5	4	0.001%	0.001%
5	5	0.0%	0.0%
5	6	0.0%	0.0%
5	7	0.0%	0.0%
5	8	0.0%	0.0%
5	9	0.0%	0.0%
10	0	60.547%	54.09%
10	1	4.569%	4.526%
10	2	0.264%	0.268%
10	3	0.015%	0.017%
10	4	0.001%	0.001%
10	5	0.0%	0.0%
10	6	0.0%	0.0%
10	7	0.0%	0.0%
10	8	0.0%	0.0%
10	9	0.0%	0.0%
20	0	45.18%	41.803%
20	1	3.584%	2.281%
20	2	0.188%	0.164%
20	3	0.008%	0.013%
20	4	0.001%	0.001%
20	5	0.0%	0.0%
20	6	0.0%	0.0%
20	7	0.0%	0.0%
20	8	0.0%	0.0%
20	9	0.0%	0.0%
25	0	38.257%	24.189%
25	1	2.037%	2.138%
25	2	0.132%	0.097%
25	3	0.005%	0.009%
25	4	0.0%	0.0%
25	5	0.0%	0.0%
25	6	0.0%	0.0%
25	7	0.0%	0.0%
25	8	0.0%	0.0%
25	9	0.0%	0.0%
50	0	15.191%	29.372%
50	1	1.063%	1.693%
50	2	0.105%	0.051%
50	3	0.002%	0.007%
50	4	0.0%	0.0%
50	5	0.0%	0.0%
50	6	0.0%	0.0%
50	7	0.0%	0.0%
50	8	0.0%	0.0%
50	9	0.0%	0.0%
100	0	16.844%	12.38%
100	1	1.36%	0.376%
100	2	0.08%	0.022%
100	3	0.003%	0.003%
100	4	0.0%	0.0%
100	5	0.0%	0.0%
100	6	0.0%	0.0%
100	7	0.0%	0.0%
100	8	0.0%	0.0%
100	9	0.0%	0.0%
